StationCode,SampleDate,Pct_WetHab,Pct_FastGHab,Pct_PoolGHab,Pct_VgInstream,Pct_VgWdChan,Pct_VgNwdChan,Pct_VgGrsChan,Pct_VgWdRip,Pct_VgNwdRip,Pct_VgGrsRip,Pct_VgChan,Pct_VgRip,Pct_VgWdTotal,Pct_VgNonWdTotal,Pct_VgGrsTotal,PCT_SAFN,SB_PT_D50,Pct_CbBlBr,HumanActivity_Ext,HumanActivity_Int,HumanActivity_Prox,HumanActivity_Prox_SWAMP,AnimalBurrow_Ext,AnimalBurrow_Int,AnimalBurrow_Prox,AnimalBurrow_Prox_SWAMP,AlgalMats_Ext,AlgalMats_Int,AlgalMats_Prox,AlgalMats_Prox_SWAMP,Burns_Ext,Burns_Int,Burns_Prox,Burns_Prox_SWAMP,DebrisSilt_Ext,DebrisSilt_Int,DebrisSilt_Prox,DebrisSilt_Prox_SWAMP,Salts_Ext,Salts_Int,Salts_Prox,Salts_Prox_SWAMP,NoxiousOdors_Ext,NoxiousOdors_Int,NoxiousOdors_Prox,NoxiousOdors_Prox_SWAMP,NutrientWater_Ext,NutrientWater_Int,NutrientWater_Prox,NutrientWater_Prox_SWAMP,XBKF_W,Mn_HydHght,Mn_CrossSect,Mn_MaxHydHght,XSLOPE
801SANT1x,8/25/2019,0,90,2.5,2,2.5,0,0,37.5,62.5,0,2.5,100,40,62.5,0,60,1,8.889,14,12,34,8.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.517777777777778,0.19620689655172413,0.4572066666666667,0.24333333333333335,1.5
801SHDCYN,7/27/2017,0,90,62.5,2,15,15,15,37.5,2.5,15,45,55,52.5,17.5,30,60,1,20,2,3,3,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2888888888888888,0.3686206896551724,0.5776333333333333,0.47111111111111115,1.8125
901AUDCRW,7/16/2016,0,77.5,2.5,2,15,15,0,15,15,62.5,30,92.5,30,30,62.5,24.444,22.6,31.111,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,NA,NA,NA
901AUDFOX,7/15/2016,0,80,0,3,2.5,2.5,15,15,15,62.5,20,92.5,17.5,17.5,77.5,28.889,32,35.556,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA
901AUDFOX,7/26/2017,0,90,2.5,2,15,2.5,2.5,62.5,2.5,15,20,80,77.5,5,17.5,40,4,28.889,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3133333333333335,0.3046896551724138,0.4963511111111111,0.5622222222222222,4.5625
901AUDFOX,8/24/2019,0,150,15,2,2.5,2.5,0,15,15,62.5,5,92.5,17.5,17.5,62.5,13.333,45,48.889,NA,NA,3,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3144444444444443,0.2831034482758621,0.6292755555555556,0.38333333333333336,5.5
901BELOLV,7/18/2016,0,77.5,2.5,4,2.5,2.5,15,37.5,15,62.5,20,115,40,17.5,77.5,6.667,16,8.889,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,NA,NA,NA
901EMRCYN,8/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,13.333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.25103448275862067,0.2129111111111111,0.3477777777777778,1.5625
901LAUREL,7/28/2017,0,92.5,15,5,37.5,15,15,62.5,15,15,67.5,92.5,100,30,30,57.778,1,17.778,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7166666666666666,0.2617241379310345,0.32003333333333334,0.33555555555555555,2.0833333333333335
901NP9BWR,8/5/2020,0,92.5,2.5,2,15,15,37.5,15,62.5,62.5,67.5,140,30,77.5,100,20,32,35.556,4,2,9,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1.5,0,0,0,0,0,0,0,0,3.2644444444444445,0.11413793103448276,0.23972444444444443,0.18,2.5
901NP9CSC,8/13/2016,0,90,2.5,1,15,15,2.5,15,62.5,15,32.5,92.5,30,77.5,17.5,17.778,32,33.333,1,2,3,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0444444444444443,0.15862068965517243,0.32711111111111113,0.2,3.5
901NP9CSC,8/9/2017,0,87.5,2.5,2,15,2.5,15,37.5,2.5,15,32.5,55,52.5,5,30,17.778,22.6,28.889,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335,0.11724137931034483,0.17756666666666668,0.15888888888888889,3.375
901NP9LCC,8/14/2016,0,80,15,2,2.5,15,37.5,15,37.5,62.5,55,115,17.5,52.5,100,33.333,2.8,28.889,3,2,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.588888888888889,0.18448275862068966,0.3210555555555556,0.25555555555555554,3.1875
901NP9MRC,7/19/2016,0,67.5,2.5,4,2.5,62.5,37.5,37.5,62.5,15,102.5,115,40,125,52.5,60,1,27.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0.16999999999999998,0.986,0.35,NA
901NP9TNC,8/2/2020,0,102.5,2.5,2,62.5,2.5,2.5,37.5,62.5,2.5,67.5,102.5,100,65,5,55.556,1,42.222,7,4,17,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.661111111111111,0.2113793103448276,0.5028555555555556,0.2777777777777778,3.125
901SJLANV,7/14/2016,0,77.5,62.5,1,0,15,0,15,37.5,2.5,15,55,15,52.5,2.5,31.111,8,13.333,5,6,10,2.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.32727272727272727,1.3183333333333334,0.4666666666666667,1
901SJMS1x,8/15/2016,0,75,15,2,37.5,15,37.5,15,15,37.5,90,67.5,52.5,30,75,13.333,45,48.889,3,4,8,2.167,0,0,0,0,2,2,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4388888888888887,0.1603448275862069,0.3537222222222222,0.22222222222222224,3.4375
901SJOF1x,8/14/2016,0,32.5,37.5,2,15,2.5,37.5,37.5,15,37.5,55,90,52.5,17.5,75,51.111,1,44.444,3,3,7,1.334,1,1,3,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0.1603448275862069,0.1547777777777778,0.21666666666666667,4.8125
901SJVERD,8/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19.3,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.025,0.11857142857142858,0.24505,0.17250000000000001,NA
901TCTCR,8/16/2016,0,102.5,0,1,15,15,2.5,37.5,37.5,0,32.5,75,52.5,52.5,2.5,17.778,45,37.778,12,15,38,10.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.183333333333334,0.10689655172413794,0.44822222222222224,0.2388888888888889,4
901UNTLCC,8/4/2020,0,67.5,15,3,15,15,37.5,37.5,62.5,62.5,67.5,162.5,52.5,77.5,100,48.889,2.8,24.444,4,5,4,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7555555555555555,0.20103448275862068,0.3786777777777778,0.2588888888888889,2.6875
901UPRAC1,8/3/2020,2.5,102.5,15,2,15,15,2.5,37.5,37.5,15,32.5,90,52.5,52.5,17.5,53.333,2,20,25,21,44,11.167,0,0,0,0,3,3,5,1.5,0,0,0,0,0,0,0,0,1,1,5,1.5,0,0,0,0,0,0,0,0,10.965555555555556,0.3020689655172414,2.202108888888889,0.42333333333333334,1.8125
902DPCCT,8/8/2020,0,77.5,2.5,2,2.5,15,2.5,87.5,87.5,62.5,20,237.5,90,102.5,65,62.222,1,11.111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0.25,0.5906333333333333,0.34111111111111114,1.9375
902DPUCC1,8/9/2020,0,102.5,15,4,15,15,2.5,87.5,62.5,37.5,32.5,187.5,102.5,77.5,40,40.909,22.6,31.818,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.758888888888889,0.24655172413793103,0.2792511111111111,0.3111111111111111,7.625
902DPUCC2,8/10/2020,0,75,15,4,87.5,37.5,2.5,87.5,37.5,62.5,127.5,187.5,175,75,65,44.444,8,17.778,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.934444444444445,0.4782758620689655,2.2128622222222223,0.6388888888888888,5.375
902LNGCYN,7/30/2017,2.5,67.5,15,4,15,2.5,2.5,37.5,15,15,20,67.5,52.5,17.5,17.5,64.444,2,2.222,16,18,37,10.667,0,0,0,0,1,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.851111111111111,0.0603448275862069,0.13407333333333332,0.1,0.9375
902NP9CWC,7/22/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
902PECHNG,7/20/2016,0,67.5,2.5,4,2.5,62.5,37.5,37.5,62.5,15,102.5,115,40,125,52.5,60,1,27.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.225,0.40349999999999997,0.38125,2.0625
902SGCGKR,6/8/2021,0,87.5,0,1,2.5,2.5,0,62.5,15,15,5,92.5,65,17.5,15,77.778,1,0,24,20,33,7.502000000000001,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38888888888889,0.06137931034482759,0.3365111111111111,0.08666666666666667,1.125
902SMAS1x,7/21/2016,0,105,2.5,1,15,87.5,0,87.5,2.5,15,102.5,105,102.5,90,15,26.667,64,57.778,1,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.535555555555556,0.4241379310344828,2.262922222222222,0.55,2.8125
902SMAS2x,7/21/2016,0,32.5,2.5,4,15,0,0,62.5,62.5,15,15,140,77.5,62.5,15,48.889,2.8,6.667,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5555555555555556,0.1896551724137931,0.17222222222222222,0.2833333333333333,6.5
902SMAS2x,7/31/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,8.889,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2055555555555555,0.06379310344827586,0.049555555555555554,0.1,7.666666666666667
902UDLVGR,7/18/2020,0,92.5,37.5,3,15,2.5,0,62.5,37.5,2.5,17.5,102.5,77.5,40,2.5,13.333,128,64.444,11,12,13,3.667,0,0,0,0,1,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7555555555555555,0.13689655172413792,0.4085111111111111,0.30444444444444446,7.25
902UPPWSC,7/21/2020,15,87.5,2.5,2,0,2.5,15,37.5,15,37.5,17.5,90,37.5,17.5,52.5,11.111,5.6,0,27,30,38,11,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772222222222222,0.1813793103448276,0.3306888888888889,0.22,0.25
902USGCBS,7/20/2020,0,87.5,0,1,2.5,2.5,0,15,15,62.5,5,92.5,17.5,17.5,62.5,88.889,1,0,31,32,31,7.001,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.433333333333334,0.21,1.5761333333333334,0.2633333333333333,0.875
902WRMSPC,7/30/2017,0,87.5,0,1,15,2.5,0,0,0,0,17.5,0,15,2.5,0,77.778,2,0,10,8,17,4.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13888888888889,0.08928571428571429,0.5555,0.17777777777777778,1.34375
903ACPCT1,7/23/2016,0,55,37.5,4,0,0,0,15,37.5,37.5,0,90,15,37.5,37.5,66.667,2,17.778,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0.0896551724137931,0.1328888888888889,0.13333333333333333,1.3125
903CVPCT,7/23/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA
903DPUEFS,8/6/2020,0,55,15,3,15,0,2.5,62.5,37.5,15,17.5,115,77.5,37.5,17.5,37.778,64,55.556,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1933333333333334,0.3,0.5730288888888889,0.37777777777777777,4.875
903DPUWF1,8/7/2020,2.5,80,15,4,15,15,15,62.5,62.5,87.5,45,212.5,77.5,77.5,102.5,33.333,45,48.889,1,1,3,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5611111111111113,0.39793103448275863,0.9140844444444445,0.5022222222222222,4.4375
903NP9PRC,8/22/2019,15,127.5,15,3,15,15,15,15,15,15,45,45,30,30,30,8.889,2125,66.667,5,5,16,3.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0.18344827586206897,0.25294666666666665,0.23555555555555555,4.6875
903NP9PRC,8/7/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333,32,44.444,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7222222222222223,0.1706896551724138,0.2976111111111111,0.23333333333333334,3.625
903NP9PRC,8/9/2016,0,77.5,15,3,2.5,15,15,37.5,15,87.5,32.5,140,40,30,102.5,22.222,90,66.667,1,1,3,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2333333333333334,0.12827586206896552,0.1881888888888889,0.24444444444444444,6.5
903NP9SLR,7/25/2016,0,77.5,15,4,0,2.5,2.5,37.5,15,62.5,5,115,37.5,17.5,65,48.889,2.8,17.778,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.14172413793103447,0.15411111111111112,0.19444444444444445,3.84375
903SLFRCx,8/12/2016,2.5,100,15,3,15,15,15,62.5,15,37.5,45,115,77.5,30,52.5,40,4,22.222,10,6,21,5.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9333333333333333,0.2206896551724138,0.2818888888888889,0.29444444444444445,1.5833333333333333
903SLFRCx,8/7/2017,2.5,67.5,15,4,0,62.5,0,37.5,37.5,15,62.5,90,37.5,100,15,84.091,1,6.818,4,2,11,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011111111111111,0.18620689655172415,0.2467777777777778,0.22777777777777777,3.125
903UTLSLR,7/22/2020,0,0,0,1,0,2.5,0,15,37.5,0,2.5,52.5,15,40,0,11.111,5660,77.778,15,12,28,7.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.411111111111111,0.2196551724137931,0.4828888888888888,0.27,0.0625
903UTMSLR,7/18/2020,0,65,2.5,1,15,2.5,2.5,37.5,62.5,37.5,20,137.5,52.5,65,40,35.556,4,2.222,19,18,17,3.167,3,2,3,0.667,3,3,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.588888888888889,0.1782758620689655,0.3432111111111111,0.41444444444444445,1.8125
904ESCELN,8/1/2017,87.5,87.5,0,1,0,0,0,0,2.5,2.5,0,5,0,2.5,2.5,NA,NA,NA,22,21,36,10.167,0,0,0,0,3,3,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.09310344827586207,0.192,0.1,0.5
904SAXONY,7/31/2020,0,75,2.5,3,37.5,0,0,87.5,62.5,15,37.5,165,125,62.5,15,93.333,1,2.222,14,10,22,6.167,2,1,4,1,1,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7644444444444445,0.22655172413793104,0.27105999999999997,0.2722222222222222,4.75
