Metric,Method,MetricForm,MetricForm_long,Group,Group_long,MetricDescription,MetricMethodDescription
T_BodySizeMedium_RelAbund,Trap,RelAbund,Relative abundance,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Relative abundance of arthropods with medium (9 to 16 mm) body size,Relative abundance of arthropods with medium (9 to 16 mm) body size in trap samples
V_BodySizeMedium_Rich,Veg,Rich,Richness,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Richness of arthropods with medium (9 to 16 mm) body size,Richness of arthropods with medium (9 to 16 mm) body size in veg samples
V_BodySizeMedium_RelRich,Veg,RelRich,Relative richness,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Relative richness of arthropods with medium (9 to 16 mm) body size,Relative richness of arthropods with medium (9 to 16 mm) body size in veg samples
V_BodySizeMedium_Abund,Veg,Abund,Abundance,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Abundance of arthropods with medium (9 to 16 mm) body size,Abundance of arthropods with medium (9 to 16 mm) body size in veg samples
V_BodySizeMedium_RelAbund,Veg,RelAbund,Relative abundance,BodySizeMedium,arthropods with medium (9 to 16 mm) body size,Relative abundance of arthropods with medium (9 to 16 mm) body size,Relative abundance of arthropods with medium (9 to 16 mm) body size in veg samples
T_BodySizeSmall_Rich,Trap,Rich,Richness,BodySizeSmall,arthropods with small (<9 mm) body size,Richness of arthropods with small (<9 mm) body size,Richness of arthropods with small (<9 mm) body size in trap samples
T_BodySizeSmall_RelRich,Trap,RelRich,Relative richness,BodySizeSmall,arthropods with small (<9 mm) body size,Relative richness of arthropods with small (<9 mm) body size,Relative richness of arthropods with small (<9 mm) body size in trap samples
T_BodySizeSmall_Abund,Trap,Abund,Abundance,BodySizeSmall,arthropods with small (<9 mm) body size,Abundance of arthropods with small (<9 mm) body size,Abundance of arthropods with small (<9 mm) body size in trap samples
T_BodySizeSmall_RelAbund,Trap,RelAbund,Relative abundance,BodySizeSmall,arthropods with small (<9 mm) body size,Relative abundance of arthropods with small (<9 mm) body size,Relative abundance of arthropods with small (<9 mm) body size in trap samples
V_BodySizeSmall_Rich,Veg,Rich,Richness,BodySizeSmall,arthropods with small (<9 mm) body size,Richness of arthropods with small (<9 mm) body size,Richness of arthropods with small (<9 mm) body size in veg samples
V_BodySizeSmall_RelRich,Veg,RelRich,Relative richness,BodySizeSmall,arthropods with small (<9 mm) body size,Relative richness of arthropods with small (<9 mm) body size,Relative richness of arthropods with small (<9 mm) body size in veg samples
V_BodySizeSmall_Abund,Veg,Abund,Abundance,BodySizeSmall,arthropods with small (<9 mm) body size,Abundance of arthropods with small (<9 mm) body size,Abundance of arthropods with small (<9 mm) body size in veg samples
V_BodySizeSmall_RelAbund,Veg,RelAbund,Relative abundance,BodySizeSmall,arthropods with small (<9 mm) body size,Relative abundance of arthropods with small (<9 mm) body size,Relative abundance of arthropods with small (<9 mm) body size in veg samples
T_CAF_Rich,Trap,Rich,Richness,CAF,"beetles, spiders, and ants","Richness of beetles, spiders, and ants","Richness of beetles, spiders, and ants in trap samples"
T_CAF_RelRich,Trap,RelRich,Relative richness,CAF,"beetles, spiders, and ants","Relative richness of beetles, spiders, and ants","Relative richness of beetles, spiders, and ants in trap samples"
T_CAF_Abund,Trap,Abund,Abundance,CAF,"beetles, spiders, and ants","Abundance of beetles, spiders, and ants","Abundance of beetles, spiders, and ants in trap samples"
T_CAF_RelAbund,Trap,RelAbund,Relative abundance,CAF,"beetles, spiders, and ants","Relative abundance of beetles, spiders, and ants","Relative abundance of beetles, spiders, and ants in trap samples"
V_CAF_Rich,Veg,Rich,Richness,CAF,"beetles, spiders, and ants","Richness of beetles, spiders, and ants","Richness of beetles, spiders, and ants in veg samples"
V_CAF_RelRich,Veg,RelRich,Relative richness,CAF,"beetles, spiders, and ants","Relative richness of beetles, spiders, and ants","Relative richness of beetles, spiders, and ants in veg samples"
V_CAF_Abund,Veg,Abund,Abundance,CAF,"beetles, spiders, and ants","Abundance of beetles, spiders, and ants","Abundance of beetles, spiders, and ants in veg samples"
V_CAF_RelAbund,Veg,RelAbund,Relative abundance,CAF,"beetles, spiders, and ants","Relative abundance of beetles, spiders, and ants","Relative abundance of beetles, spiders, and ants in veg samples"
T_CAF_Nat_Rich,Trap,Rich,Richness,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Richness of native, non-synanthropic beetles, spiders, and ants","Richness of native, non-synanthropic beetles, spiders, and ants in trap samples"
T_CAF_Nat_RelRich,Trap,RelRich,Relative richness,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Relative richness of native, non-synanthropic beetles, spiders, and ants","Relative richness of native, non-synanthropic beetles, spiders, and ants in trap samples"
T_CAF_Nat_Abund,Trap,Abund,Abundance,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Abundance of native, non-synanthropic beetles, spiders, and ants","Abundance of native, non-synanthropic beetles, spiders, and ants in trap samples"
T_CAF_Nat_RelAbund,Trap,RelAbund,Relative abundance,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Relative abundance of native, non-synanthropic beetles, spiders, and ants","Relative abundance of native, non-synanthropic beetles, spiders, and ants in trap samples"
V_CAF_Nat_Rich,Veg,Rich,Richness,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Richness of native, non-synanthropic beetles, spiders, and ants","Richness of native, non-synanthropic beetles, spiders, and ants in veg samples"
V_CAF_Nat_RelRich,Veg,RelRich,Relative richness,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Relative richness of native, non-synanthropic beetles, spiders, and ants","Relative richness of native, non-synanthropic beetles, spiders, and ants in veg samples"
V_CAF_Nat_Abund,Veg,Abund,Abundance,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Abundance of native, non-synanthropic beetles, spiders, and ants","Abundance of native, non-synanthropic beetles, spiders, and ants in veg samples"
V_CAF_Nat_RelAbund,Veg,RelAbund,Relative abundance,CAF_Nat,"native, non-synanthropic beetles, spiders, and ants","Relative abundance of native, non-synanthropic beetles, spiders, and ants","Relative abundance of native, non-synanthropic beetles, spiders, and ants in veg samples"
T_Coleo_Rich,Trap,Rich,Richness,Coleo,beetles,Richness of beetles,Richness of beetles in trap samples
T_Coleo_RelRich,Trap,RelRich,Relative richness,Coleo,beetles,Relative richness of beetles,Relative richness of beetles in trap samples
T_Coleo_Abund,Trap,Abund,Abundance,Coleo,beetles,Abundance of beetles,Abundance of beetles in trap samples
T_Coleo_RelAbund,Trap,RelAbund,Relative abundance,Coleo,beetles,Relative abundance of beetles,Relative abundance of beetles in trap samples
V_Coleo_Rich,Veg,Rich,Richness,Coleo,beetles,Richness of beetles,Richness of beetles in veg samples
V_Coleo_RelRich,Veg,RelRich,Relative richness,Coleo,beetles,Relative richness of beetles,Relative richness of beetles in veg samples
V_Coleo_Abund,Veg,Abund,Abundance,Coleo,beetles,Abundance of beetles,Abundance of beetles in veg samples
V_Coleo_RelAbund,Veg,RelAbund,Relative abundance,Coleo,beetles,Relative abundance of beetles,Relative abundance of beetles in veg samples
T_DetrFung_Rich,Trap,Rich,Richness,DetrFung,detritivores and fungivores,Richness of detritivores and fungivores,Richness of detritivores and fungivores in trap samples
T_DetrFung_RelRich,Trap,RelRich,Relative richness,DetrFung,detritivores and fungivores,Relative richness of detritivores and fungivores,Relative richness of detritivores and fungivores in trap samples
T_DetrFung_Abund,Trap,Abund,Abundance,DetrFung,detritivores and fungivores,Abundance of detritivores and fungivores,Abundance of detritivores and fungivores in trap samples
T_DetrFung_RelAbund,Trap,RelAbund,Relative abundance,DetrFung,detritivores and fungivores,Relative abundance of detritivores and fungivores,Relative abundance of detritivores and fungivores in trap samples
V_DetrFung_Rich,Veg,Rich,Richness,DetrFung,detritivores and fungivores,Richness of detritivores and fungivores,Richness of detritivores and fungivores in veg samples
V_DetrFung_RelRich,Veg,RelRich,Relative richness,DetrFung,detritivores and fungivores,Relative richness of detritivores and fungivores,Relative richness of detritivores and fungivores in veg samples
V_DetrFung_Abund,Veg,Abund,Abundance,DetrFung,detritivores and fungivores,Abundance of detritivores and fungivores,Abundance of detritivores and fungivores in veg samples
V_DetrFung_RelAbund,Veg,RelAbund,Relative abundance,DetrFung,detritivores and fungivores,Relative abundance of detritivores and fungivores,Relative abundance of detritivores and fungivores in veg samples
T_Detritivore_Rich,Trap,Rich,Richness,Detritivore,detritivores,Richness of detritivores,Richness of detritivores in trap samples
T_Detritivore_RelRich,Trap,RelRich,Relative richness,Detritivore,detritivores,Relative richness of detritivores,Relative richness of detritivores in trap samples
T_Detritivore_Abund,Trap,Abund,Abundance,Detritivore,detritivores,Abundance of detritivores,Abundance of detritivores in trap samples
T_Detritivore_RelAbund,Trap,RelAbund,Relative abundance,Detritivore,detritivores,Relative abundance of detritivores,Relative abundance of detritivores in trap samples
V_Detritivore_Rich,Veg,Rich,Richness,Detritivore,detritivores,Richness of detritivores,Richness of detritivores in veg samples
V_Detritivore_RelRich,Veg,RelRich,Relative richness,Detritivore,detritivores,Relative richness of detritivores,Relative richness of detritivores in veg samples
V_Detritivore_Abund,Veg,Abund,Abundance,Detritivore,detritivores,Abundance of detritivores,Abundance of detritivores in veg samples
V_Detritivore_RelAbund,Veg,RelAbund,Relative abundance,Detritivore,detritivores,Relative abundance of detritivores,Relative abundance of detritivores in veg samples
T_Dispersal_KRich,Trap,QC,,Dispersal,,Number of taxa with known dispersal ability,Number of taxa with known dispersal ability in trap samples
T_Dispersal_KAbund,Trap,QC,,Dispersal,,Abundance of taxa with known dispersal ability,Abundance of taxa with known dispersal ability in trap samples
V_Dispersal_KRich,Veg,QC,,Dispersal,,Number of taxa with known dispersal ability,Number of taxa with known dispersal ability in veg samples
V_Dispersal_KAbund,Veg,QC,,Dispersal,,Abundance of taxa with known dispersal ability,Abundance of taxa with known dispersal ability in veg samples
T_DisperserGood_Rich,Trap,Rich,Richness,DisperserGood,good disperers,Richness of good disperers,Richness of good disperers in trap samples
T_DisperserGood_RelRich,Trap,RelRich,Relative richness,DisperserGood,good disperers,Relative richness of good disperers,Relative richness of good disperers in trap samples
T_DisperserGood_Abund,Trap,Abund,Abundance,DisperserGood,good disperers,Abundance of good disperers,Abundance of good disperers in trap samples
T_DisperserGood_RelAbund,Trap,RelAbund,Relative abundance,DisperserGood,good disperers,Relative abundance of good disperers,Relative abundance of good disperers in trap samples
V_DisperserGood_Rich,Veg,Rich,Richness,DisperserGood,good disperers,Richness of good disperers,Richness of good disperers in veg samples
V_DisperserGood_RelRich,Veg,RelRich,Relative richness,DisperserGood,good disperers,Relative richness of good disperers,Relative richness of good disperers in veg samples
V_DisperserGood_Abund,Veg,Abund,Abundance,DisperserGood,good disperers,Abundance of good disperers,Abundance of good disperers in veg samples
V_DisperserGood_RelAbund,Veg,RelAbund,Relative abundance,DisperserGood,good disperers,Relative abundance of good disperers,Relative abundance of good disperers in veg samples
T_DisperserPoor_Rich,Trap,Rich,Richness,DisperserPoor,poor dispersers,Richness of poor dispersers,Richness of poor dispersers in trap samples
T_DisperserPoor_RelRich,Trap,RelRich,Relative richness,DisperserPoor,poor dispersers,Relative richness of poor dispersers,Relative richness of poor dispersers in trap samples
T_DisperserPoor_Abund,Trap,Abund,Abundance,DisperserPoor,poor dispersers,Abundance of poor dispersers,Abundance of poor dispersers in trap samples
T_DisperserPoor_RelAbund,Trap,RelAbund,Relative abundance,DisperserPoor,poor dispersers,Relative abundance of poor dispersers,Relative abundance of poor dispersers in trap samples
V_DisperserPoor_Rich,Veg,Rich,Richness,DisperserPoor,poor dispersers,Richness of poor dispersers,Richness of poor dispersers in veg samples
V_DisperserPoor_RelRich,Veg,RelRich,Relative richness,DisperserPoor,poor dispersers,Relative richness of poor dispersers,Relative richness of poor dispersers in veg samples
V_DisperserPoor_Abund,Veg,Abund,Abundance,DisperserPoor,poor dispersers,Abundance of poor dispersers,Abundance of poor dispersers in veg samples
V_DisperserPoor_RelAbund,Veg,RelAbund,Relative abundance,DisperserPoor,poor dispersers,Relative abundance of poor dispersers,Relative abundance of poor dispersers in veg samples
T_FFG_KRich,Trap,QC,,FFG,,Number of taxa with known feeding guild,Number of taxa with known feeding guild in trap samples
T_FFG_KAbund,Trap,QC,,FFG,,Abundance of taxa with known feeding guild,Abundance of taxa with known feeding guild in trap samples
V_FFG_KRich,Veg,QC,,FFG,,Number of taxa with known feeding guild,Number of taxa with known feeding guild in veg samples
V_FFG_KAbund,Veg,QC,,FFG,,Abundance of taxa with known feeding guild,Abundance of taxa with known feeding guild in veg samples
T_FFG_d_KRich,Trap,QC,,FFG_d,,Number of taxa with known feeding guild details,Number of taxa with known feeding guild details in trap samples
T_FFG_d_KAbund,Trap,QC,,FFG_d,,Abundance of taxa with known feeding guild details,Abundance of taxa with known feeding guild details in trap samples
V_FFG_d_KRich,Veg,QC,,FFG_d,,Number of taxa with known feeding guild details,Number of taxa with known feeding guild details in veg samples
V_FFG_d_KAbund,Veg,QC,,FFG_d,,Abundance of taxa with known feeding guild details,Abundance of taxa with known feeding guild details in veg samples
T_Formicidae_Rich,Trap,Rich,Richness,Formicidae,ants,Richness of ants,Richness of ants in trap samples
T_Formicidae_RelRich,Trap,RelRich,Relative richness,Formicidae,ants,Relative richness of ants,Relative richness of ants in trap samples
T_Formicidae_Abund,Trap,Abund,Abundance,Formicidae,ants,Abundance of ants,Abundance of ants in trap samples
T_Formicidae_RelAbund,Trap,RelAbund,Relative abundance,Formicidae,ants,Relative abundance of ants,Relative abundance of ants in trap samples
V_Formicidae_Rich,Veg,Rich,Richness,Formicidae,ants,Richness of ants,Richness of ants in veg samples
V_Formicidae_RelRich,Veg,RelRich,Relative richness,Formicidae,ants,Relative richness of ants,Relative richness of ants in veg samples
V_Formicidae_Abund,Veg,Abund,Abundance,Formicidae,ants,Abundance of ants,Abundance of ants in veg samples
V_Formicidae_RelAbund,Veg,RelAbund,Relative abundance,Formicidae,ants,Relative abundance of ants,Relative abundance of ants in veg samples
T_Formicidae_Nat_Rich,Trap,Rich,Richness,Formicidae_Nat,"native, non-synanthropic ants","Richness of native, non-synanthropic ants","Richness of native, non-synanthropic ants in trap samples"
T_Formicidae_Nat_RelRich,Trap,RelRich,Relative richness,Formicidae_Nat,"native, non-synanthropic ants","Relative richness of native, non-synanthropic ants","Relative richness of native, non-synanthropic ants in trap samples"
T_Formicidae_Nat_Abund,Trap,Abund,Abundance,Formicidae_Nat,"native, non-synanthropic ants","Abundance of native, non-synanthropic ants","Abundance of native, non-synanthropic ants in trap samples"
T_Formicidae_Nat_RelAbund,Trap,RelAbund,Relative abundance,Formicidae_Nat,"native, non-synanthropic ants","Relative abundance of native, non-synanthropic ants","Relative abundance of native, non-synanthropic ants in trap samples"
V_Formicidae_Nat_Rich,Veg,Rich,Richness,Formicidae_Nat,"native, non-synanthropic ants","Richness of native, non-synanthropic ants","Richness of native, non-synanthropic ants in veg samples"
V_Formicidae_Nat_RelRich,Veg,RelRich,Relative richness,Formicidae_Nat,"native, non-synanthropic ants","Relative richness of native, non-synanthropic ants","Relative richness of native, non-synanthropic ants in veg samples"
V_Formicidae_Nat_Abund,Veg,Abund,Abundance,Formicidae_Nat,"native, non-synanthropic ants","Abundance of native, non-synanthropic ants","Abundance of native, non-synanthropic ants in veg samples"
V_Formicidae_Nat_RelAbund,Veg,RelAbund,Relative abundance,Formicidae_Nat,"native, non-synanthropic ants","Relative abundance of native, non-synanthropic ants","Relative abundance of native, non-synanthropic ants in veg samples"
T_Fungivore_Rich,Trap,Rich,Richness,Fungivore,fungivores,Richness of fungivores,Richness of fungivores in trap samples
T_Fungivore_RelRich,Trap,RelRich,Relative richness,Fungivore,fungivores,Relative richness of fungivores,Relative richness of fungivores in trap samples
T_Fungivore_Abund,Trap,Abund,Abundance,Fungivore,fungivores,Abundance of fungivores,Abundance of fungivores in trap samples
T_Fungivore_RelAbund,Trap,RelAbund,Relative abundance,Fungivore,fungivores,Relative abundance of fungivores,Relative abundance of fungivores in trap samples
V_Fungivore_Rich,Veg,Rich,Richness,Fungivore,fungivores,Richness of fungivores,Richness of fungivores in veg samples
V_Fungivore_RelRich,Veg,RelRich,Relative richness,Fungivore,fungivores,Relative richness of fungivores,Relative richness of fungivores in veg samples
V_Fungivore_Abund,Veg,Abund,Abundance,Fungivore,fungivores,Abundance of fungivores,Abundance of fungivores in veg samples
V_Fungivore_RelAbund,Veg,RelAbund,Relative abundance,Fungivore,fungivores,Relative abundance of fungivores,Relative abundance of fungivores in veg samples
T_Ground_Rich,Trap,Rich,Richness,Ground,ground or soil dwellers,Richness of ground or soil dwellers,Richness of ground or soil dwellers in trap samples
T_Ground_RelRich,Trap,RelRich,Relative richness,Ground,ground or soil dwellers,Relative richness of ground or soil dwellers,Relative richness of ground or soil dwellers in trap samples
T_Ground_Abund,Trap,Abund,Abundance,Ground,ground or soil dwellers,Abundance of ground or soil dwellers,Abundance of ground or soil dwellers in trap samples
T_Ground_RelAbund,Trap,RelAbund,Relative abundance,Ground,ground or soil dwellers,Relative abundance of ground or soil dwellers,Relative abundance of ground or soil dwellers in trap samples
V_Ground_Rich,Veg,Rich,Richness,Ground,ground or soil dwellers,Richness of ground or soil dwellers,Richness of ground or soil dwellers in veg samples
V_Ground_RelRich,Veg,RelRich,Relative richness,Ground,ground or soil dwellers,Relative richness of ground or soil dwellers,Relative richness of ground or soil dwellers in veg samples
V_Ground_Abund,Veg,Abund,Abundance,Ground,ground or soil dwellers,Abundance of ground or soil dwellers,Abundance of ground or soil dwellers in veg samples
V_Ground_RelAbund,Veg,RelAbund,Relative abundance,Ground,ground or soil dwellers,Relative abundance of ground or soil dwellers,Relative abundance of ground or soil dwellers in veg samples
T_Herbaceous_Rich,Trap,Rich,Richness,Herbaceous,herbaceous layer dwellers,Richness of herbaceous layer dwellers,Richness of herbaceous layer dwellers in trap samples
T_Herbaceous_RelRich,Trap,RelRich,Relative richness,Herbaceous,herbaceous layer dwellers,Relative richness of herbaceous layer dwellers,Relative richness of herbaceous layer dwellers in trap samples
T_Herbaceous_Abund,Trap,Abund,Abundance,Herbaceous,herbaceous layer dwellers,Abundance of herbaceous layer dwellers,Abundance of herbaceous layer dwellers in trap samples
T_Herbaceous_RelAbund,Trap,RelAbund,Relative abundance,Herbaceous,herbaceous layer dwellers,Relative abundance of herbaceous layer dwellers,Relative abundance of herbaceous layer dwellers in trap samples
V_Herbaceous_Rich,Veg,Rich,Richness,Herbaceous,herbaceous layer dwellers,Richness of herbaceous layer dwellers,Richness of herbaceous layer dwellers in veg samples
V_Herbaceous_RelRich,Veg,RelRich,Relative richness,Herbaceous,herbaceous layer dwellers,Relative richness of herbaceous layer dwellers,Relative richness of herbaceous layer dwellers in veg samples
